Date,Account,Description,Category,Tags,Amount
2019-12-31,"360 Performance Savings - Ending in 1286","Monthly Interest Paid","Interest",,30.67
2019-12-31,"Sapphire Reserve","Restaurant","Restaurants",,-8.84
2019-12-31,"Total Checking - Ending in 1220","Paypal Inst Xfer Medium.com Web Id: Paypalsi77","Dues & Subscriptions",,-5
2019-12-31,"High Yield Cd 5-year - Ending in 5088","Interest Paid","Interest",,174.82
2019-12-31,"Citadel Retirement - X7474","Fid Us Bond Idx - Dividend","Securities Trades",,3.43
2019-12-31,"High Yield Cd 3-year - Ending in 5875","Interest Paid","Interest",,41.55
2019-12-30,"Sapphire Reserve","Dolo Garden Restaurant.","Restaurants",,-66.29
2019-12-30,"Sapphire Reserve","Airbnb","Travel",,-130.17
2019-12-30,"Sapphire Reserve","Grant Park Cleaner","Personal Care",,-29.95
2019-12-30,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-700
2019-12-29,"Sapphire Reserve","Ilsos Chicago N Driver","Restaurants",,-31
2019-12-29,"Sapphire Reserve","La Palapa Inc","Restaurants",,-36.25
2019-12-29,"Sapphire Reserve","Best Buy","General Merchandise",,-479.6
2019-12-29,"Sapphire Reserve","La Pasadita","Restaurants",,-20.08
2019-12-29,"Sapphire Reserve","Payment Thank You-mobile","Credit Card Payments",,700
2019-12-27,"Sapphire Reserve","Walgreens","Healthcare/Medical",,-16.53
2019-12-27,"Sapphire Reserve","Pastry House Hippo","Restaurants",,-16.31
2019-12-27,"Sapphire Reserve","Apple","Electronics",,15.96
2019-12-27,"Sapphire Reserve","Apple","Electronics",,423.94
2019-12-27,"Sapphire Reserve","Apple","Electronics",,-423.94
2019-12-27,"Sapphire Reserve","Apple","Electronics",,-15.96
2019-12-27,"Total Checking - Ending in 1220","Capital One","Credit Card Payments",,-60.4
2019-12-27,"Total Checking - Ending in 1220","Apple","Paychecks/Salary",,1825.35
2019-12-27,"Venmo Bank Account","Hong Duong Dang Paid Quang Tran Pakistan","Other Income",,21
2019-12-27,"Venmo Bank Account","Evelyn Le Paid Quang Tran To C Tai Vu T Vu T Th M Tho","Other Income",,60
2019-12-27,"Quang Tran - Roth Ira Brokerage Account - Ending in 6932","Vanguard Target Retirement 2055 Investor Cl-dividend","Investment Income",,138.84
2019-12-27,"Quang Tran - Roth Ira Brokerage Account - Ending in 6932","Vanguard Target Retirement 2055 Investor Cl-reinvestment","Securities Trades",,-138.84
2019-12-26,"Sapphire Reserve","Mugimaru","Restaurants",,-20.25
2019-12-26,"Sapphire Reserve","Mitsuwa Marketplace","Groceries",,-94.29
2019-12-26,"Sapphire Reserve","Toritetsu","Other Expenses",,-13.49
2019-12-26,"Sapphire Reserve","Uber","Travel",,-9.88
2019-12-26,"Sapphire Reserve","Minghin Cuisine","Restaurants",,-40.51
2019-12-26,"Total Checking - Ending in 1220","Withdrawal","Loans",,-3000
2019-12-26,"Total Checking - Ending in 1220","Paypal","Transfers",,-12.98
2019-12-26,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-350
2019-12-25,"Savor - Ending in 7529","Capital One","Credit Card Payments",,60.4
2019-12-25,"Sapphire Reserve","Popeyes Louisiana Kitchen","Restaurants",,-26.73
2019-12-25,"Sapphire Reserve","Scarborough & Tweed","Online Services",,-46.75
2019-12-25,"Sapphire Reserve","Payment Thank You-mobile","Credit Card Payments",,350
2019-12-25,"Sapphire Reserve","Sabri Nihari","Restaurants",,-105
2019-12-24,"Total Checking - Ending in 1220","Atm Withdrawalxx5157 12/x4150 N Mic","Rent",,-660
2019-12-24,"Sapphire Reserve","Meet fresh","Restaurants",,-30.97
2019-12-24,"Sapphire Reserve","Godiva Chocolatier","Groceries",,-15.81
2019-12-24,"Venmo Bank Account","Rom Bui Paid Quang Tran Frontier","Paychecks/Salary",,20
2019-12-23,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-67.2
2019-12-23,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-127.49
2019-12-23,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-173.03
2019-12-23,"Sapphire Reserve","The Budlong","Personal Care",,-13.37
2019-12-23,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-400
2019-12-22,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-27.99
2019-12-22,"Amazon Prime - Ending in 0790","Payment Thank You - Web","Credit Card Payments",,400
2019-12-22,"Sapphire Reserve","Crisp","Restaurants",,-30.8
2019-12-22,"Sapphire Reserve","Magnolia Bakery","Restaurants",,-16.92
2019-12-22,"Sapphire Reserve","Sp * Yang2020 Merchand","Other Expenses",,-76.75
2019-12-20,"Savor - Ending in 7529","Ventra","Travel",,-28
2019-12-20,"Savor - Ending in 7529","Brown Bag Seafood Co.","Restaurants",,-17.71
2019-12-20,"Savor - Ending in 7529","Chick-fil-a","Restaurants",,-11.9
2019-12-20,"Savor - Ending in 7529","Brown Bag Seafood Co.","Restaurants",,-2.79
